,MESH:D005923,MESH:D009503,MESH:D016115,MESH:D018476,MESH:C567059,MESH:D010198,MESH:D007898,MESH:C574275,MESH:D001249,MESH:C535836,MESH:D020149,MESH:D009325,MESH:D001943,MESH:D006943,MESH:D013612,MESH:D014517,MESH:D001281,MESH:C537758,MESH:D010391,MESH:D002538,MESH:D058489,MESH:D012770,MESH:D009205,MESH:D018500,MESH:D009374,MESH:C567064,MESH:D007805,MESH:D006332,MESH:D007035,MESH:D009389,MESH:C535531,MESH:D009767,MESH:D000037,MESH:D001002,MESH:D007634,MESH:C535575,MESH:D010212,MESH:D018281,MESH:C566381,MESH:D000544,MESH:D016535,MESH:D005334,MESH:D004830,MESH:D009765,OMIM:613721,MESH:D046628,MESH:D012128,MESH:D005922,MESH:D001927,MESH:D054559,MESH:D001157,MESH:D012220,MESH:C535504,MESH:D066126,MESH:D001254,MESH:D016108,MESH:D006527,MESH:D052496,MESH:D019964,MESH:C566899,MESH:D008268,MESH:D020258,MESH:D000647,MESH:D010300,MESH:D012829,MESH:D006528,MESH:D012131,MESH:D013927,MESH:D008106,MESH:D058447,MESH:D001171,MESH:D001724,MESH:D018754,MESH:D006330,MESH:D020261,MESH:D004443,MESH:D016301,OMIM:168600,OMIM:256600,MESH:D009393,MESH:D006519,MESH:D007674,OMIM:606771,MESH:D003248,MESH:D055963,MESH:D009362,MESH:D002779,MESH:D010922,MESH:D006501,MESH:D001847,MESH:D006967,MESH:D016410,MESH:D009101,MESH:D055501,MESH:D014424,MESH:D056486,MESH:D018879,MESH:D020642,MESH:D060050,MESH:D019969
MESH:D001157,0.9959248,1.1631632,0.61637247,0.08763483,0.17700534,0.18629317,1.2608013,1.0117089,1.8579657,0.29671055,1.2192714,1.7066597,2.44659,1.035112,1.3721341,0.29519638,0.8022272,0.8904182,0.20350152,0.5599523,0.06773338,0.44923478,1.027244,0.37415713,1.406416,0.82554656,0.029396195,1.7117075,1.2995958,0.48611182,0.116280265,0.2424862,0.007074718,0.56997967,0.35721678,1.2907158,1.0682802,1.2048161,0.32773027,1.95513,0.8680205,1.720385,1.0395302,2.1793227,1.2734251,1.261436,1.1510297,0.78913885,1.2157311,0.48035404,0.0,0.5549977,0.95071286,0.24395418,0.8662222,0.35895953,1.2369435,0.22707054,0.11264218,0.8625439,0.570461,1.518824,1.2672441,1.8625072,0.9176963,2.1654127,0.61486226,1.5361655,2.336205,0.31363758,1.2834942,0.11803412,1.0025505,1.0667769,1.289948,0.14676684,0.37887904,0.013377269,1.1367067,0.6461452,0.8638605,2.2613754,0.56066316,0.36017528,0.4197423,1.860139,1.7887825,0.8508653,1.2405188,0.15193477,1.4864373,0.910175,1.332406,1.3278756,0.93355846,2.543367,0.074413195,0.41422752,0.8828974,1.6526661
MESH:D012220,0.44100645,0.6082251,1.1712264,0.642279,0.73193836,0.3687535,0.7058474,1.5666145,1.3029996,0.85150814,0.6643306,1.1516981,1.8916111,0.48018563,1.9270002,0.25984278,0.24734344,1.4453143,0.35158733,0.008332993,0.6224247,0.10599559,0.47234768,0.92902035,0.85146326,1.3804514,0.583961,1.1567487,0.74463344,0.06912484,0.43878657,0.3126353,0.5493169,0.017482912,0.19784364,0.735772,0.5133445,0.6498739,0.8826846,1.4001615,0.31311426,1.1654305,0.4846032,1.6243627,1.8282857,1.8162547,0.5960909,0.23428096,0.6607998,1.0352672,0.5549977,0.0,1.505629,0.79860866,0.3112571,0.9138857,0.6820021,0.32797533,0.6670142,1.4174243,0.017383,0.9638666,0.7123229,1.307555,0.36279202,1.6104366,0.060282405,0.98120254,1.7812241,0.86845845,0.72854316,0.43711382,0.4476248,0.5118388,0.73500216,0.40855342,0.9337963,0.542438,1.6915838,0.09134584,0.3089679,1.7064261,1.1155365,0.19496208,0.13536733,1.3051747,1.2338327,0.29598698,0.6855601,0.40316388,0.9314653,0.3552941,0.77745575,1.8826609,0.37872314,1.9884139,0.48095128,0.1411394,0.32800958,1.0977017
MESH:C535504,1.9465894,2.1138372,0.3344578,0.8633821,0.77373016,1.136909,2.211454,0.061054353,2.8086016,0.65413326,2.169919,2.6573164,3.3972168,1.9857677,0.4225732,1.2458521,1.7529074,0.060368247,1.1540769,1.5106167,0.88323885,1.3999029,1.9779011,0.57661635,2.3570452,0.12518123,0.9217518,2.6623585,2.250233,1.4367931,1.0669205,1.1930664,0.9563521,1.5206105,1.3078557,2.2413666,2.0189297,2.1554682,0.62298775,2.9057512,1.8186641,2.6710396,1.990178,3.1299758,0.32307318,0.31101722,2.1016676,1.7398105,2.1663775,0.47037932,0.95071286,1.505629,0.0,0.70709896,1.8168811,0.5917709,2.1875994,1.1777421,0.83868074,0.08831283,1.5211294,2.4694684,2.2179272,2.8131666,1.8683493,3.1160488,1.5654846,2.48681,3.286834,0.63722837,2.2341447,1.0685556,1.9532028,2.0174384,2.2405894,1.0971438,0.5718447,0.96325064,0.18606067,1.5967897,1.8145115,3.2120264,0.39012545,1.3107604,1.3704127,2.8107617,2.739428,1.8015201,2.1911778,1.1025804,2.437073,1.8608276,2.2830565,0.37753636,1.8841879,3.4940367,1.0247281,1.3648268,1.8335485,2.6033075
MESH:D066126,1.239561,1.4068229,0.37266076,0.15649466,0.06763971,0.4299199,1.5044124,0.7680634,2.1015418,0.05361397,1.4628805,1.9502705,2.6901472,1.2787211,1.1288048,0.53889287,1.0458912,0.6467792,0.44709867,0.8036344,0.1764959,0.69290787,1.2708893,0.13063933,1.649992,0.5819226,0.21502483,1.9553078,1.5431778,0.7297966,0.35999542,0.48609114,0.24950787,0.8135665,0.60087514,1.5343173,1.3118812,1.4484242,0.08486174,2.1986766,1.1116389,1.9639887,1.2831119,2.4229198,1.0297415,1.0176828,1.3946066,1.0327872,1.45932,0.23692364,0.24395418,0.79860866,0.70709896,0.0,1.1098553,0.115822606,1.4805617,0.47083443,0.13174088,0.6188847,0.8141386,1.7624035,1.5108941,2.1061144,1.1613299,2.4089894,0.8584404,1.779761,2.579772,0.07016294,1.5270895,0.361596,1.2461711,1.3104117,1.5335417,0.3900962,0.13556875,0.25637084,0.89302224,0.8897417,1.1074951,2.5049539,0.31700844,0.603749,0.66343975,2.103698,2.0323806,1.0945059,1.4841349,0.39570108,1.7300199,1.1537875,1.5760055,1.084093,1.1771444,2.7869883,0.31772155,0.6578197,1.126526,1.8962376
MESH:D001254,0.12985143,0.29698303,1.4824806,0.95352066,1.0431765,0.67998713,0.3946146,1.8778679,0.9917746,1.1627603,0.35312045,0.84045225,1.5803825,0.16901451,2.2382174,0.57105464,0.06419935,1.7565672,0.6628177,0.30632445,0.93366235,0.41703865,0.16123219,1.2402699,0.5402563,1.6917038,0.89518124,0.84551054,0.43342572,0.38013393,0.75000435,0.62384343,0.8605516,0.29643536,0.50904316,0.42455378,0.2021653,0.33865574,1.1939261,1.0889431,0.006929664,0.85419106,0.17350219,1.3131236,2.1395202,2.1275027,0.2849096,0.07736756,0.349609,1.346515,0.8662222,0.3112571,1.8168811,1.1098553,0.0,1.2251294,0.370776,0.63917774,0.97825664,1.7286757,0.29584056,0.6526411,0.40107912,0.99631673,0.051935725,1.2992042,0.25150624,0.66996545,1.4699926,1.1797072,0.41732073,0.7483453,0.13648456,0.20061876,0.42378902,0.7197869,1.2450457,0.8536673,2.0028372,0.22018518,0.0073913336,1.3951905,1.4267861,0.50615317,0.44650444,0.99395895,0.9225984,0.01698258,0.3743179,0.71436286,0.62023735,0.04472895,0.46622905,2.1939008,0.06831137,1.6771722,0.79218704,0.45216554,0.018296612,0.78647476
MESH:D016108,1.3548393,1.5220809,0.25751016,0.2716745,0.18196228,0.5451609,1.619709,0.65277445,2.2168727,0.06267508,1.5781772,2.0655706,2.8054924,1.3940225,1.0134356,0.6540939,1.1611536,0.5314766,0.5623284,0.9188594,0.29148465,0.8081482,1.3861514,0.015782766,1.7653134,0.46660313,0.3299941,2.0706182,1.6585003,0.8450365,0.47516897,0.60131454,0.36459443,0.92888594,0.71609867,1.6496255,1.4271871,1.5637244,0.031298578,2.3140302,1.2269169,2.0792975,1.398446,2.538238,0.9145211,0.90253776,1.5099312,1.1480607,1.5746408,0.12140508,0.35895953,0.9138857,0.5917709,0.115822606,1.2251294,0.0,1.5958533,0.58597493,0.24709222,0.5035984,0.929371,1.8777337,1.6261712,2.2214262,1.2766011,2.5243182,0.97374815,1.8950685,2.6951056,0.046336886,1.6424047,0.4768089,1.3614571,1.4256864,1.6488502,0.50544804,0.020117855,0.3715082,0.77776825,1.0050519,1.2227634,2.6202917,0.20177262,0.71902007,0.7786512,2.2190392,2.1476889,1.2097708,1.599431,0.5108201,1.8453375,1.2690845,1.6913154,0.96897787,1.2924573,2.9022932,0.43301383,0.77309704,1.2418023,2.0115755
MESH:D006527,0.24102531,0.074050054,1.8531976,1.324223,1.4139009,1.0507029,0.023917703,2.2485847,0.621057,1.5334756,0.017747477,0.46973056,1.2096885,0.20186113,2.608927,0.94177604,0.4347263,2.1272805,1.0335333,0.67700297,1.3043793,0.78772235,0.20974065,1.6109889,0.16955899,2.0624228,1.2658869,0.4747743,0.0628876,0.75084037,1.1207107,0.9945521,1.2312677,0.6670371,0.8797582,0.053895473,0.16871236,0.032162867,1.564651,0.718238,0.36894444,0.48344815,0.19763413,0.9424001,2.510206,2.4982047,0.08611678,0.44782197,0.021886563,1.7172432,1.2369435,0.6820021,2.1875994,1.4805617,0.370776,1.5958533,0.0,1.0098963,1.3489425,2.0993905,0.66650355,0.28193742,0.030831615,0.6256035,0.31925836,0.92850333,0.62214506,0.2992341,1.0993,1.5504218,0.046696655,1.1190522,0.23439832,0.17019722,0.053084835,1.0904801,1.6157695,1.2243695,2.373549,0.5908551,0.373096,1.024465,1.7974974,0.8768605,0.8172186,0.6232368,0.55183995,0.38609102,0.0050712684,1.085068,0.2495385,0.3268112,0.09549802,2.5646045,0.30349422,1.3064827,1.1628854,0.8227957,0.3540592,0.4158084
MESH:D052496,0.7688792,0.9361152,0.8433855,0.31441873,0.40401593,0.041085612,1.0337545,1.2387394,1.6309292,0.52365816,0.99222547,1.4796124,2.2195537,0.8080708,1.5991712,0.06819481,0.57519054,1.1174382,0.02418763,0.3328983,0.2945187,0.22220324,0.8001928,0.6011465,1.1793731,1.0525706,0.25601462,1.4846642,1.0725601,0.25908202,0.11089324,0.016141104,0.22140045,0.34301192,0.13017209,1.0636741,0.84123844,0.97777086,0.55476725,1.7280966,0.64096755,1.4933413,0.81251687,1.9522839,1.500422,1.4884417,0.92399156,0.5621046,0.98869634,0.70737135,0.22707054,0.32797533,1.1777421,0.47083443,0.63917774,0.58597493,1.0098963,0.0,0.33924308,1.0895547,0.34340993,1.2917882,1.0402031,1.6354715,0.690646,1.9383734,0.38784146,1.3091166,2.1091642,0.54063034,1.0564553,0.10927416,0.77550364,0.8397255,1.0629021,0.0811835,0.6059034,0.21453379,1.3637245,0.41913667,0.6368101,2.0343404,0.7876691,0.13322312,0.19268954,1.633103,1.5617353,0.62381554,1.013475,0.07523805,1.259393,0.68313813,1.1053635,1.5548614,0.7065314,2.316334,0.15319286,0.18727101,0.65585095,1.4256344
MESH:D019964,1.1079426,1.2752099,0.504277,0.025161864,0.06576092,0.29833227,1.3727968,0.8996555,1.9699355,0.18463592,1.3312582,1.81866,2.5585554,1.1471121,1.260306,0.40729988,0.9142784,0.7783539,0.315492,0.67200464,0.04547274,0.56129694,1.139257,0.26212093,1.5183799,0.7135055,0.08371985,1.8236948,1.4115694,0.5981972,0.22843327,0.35448775,0.11802981,0.6819615,0.46926138,1.4027064,1.1802734,1.3168085,0.21595474,2.0670815,0.9800158,1.8323758,1.1515274,2.2913113,1.161318,1.1492935,1.2630048,0.90117526,1.3277137,0.3684154,0.11264218,0.6670142,0.83868074,0.13174088,0.97825664,0.24709222,1.3489425,0.33924308,0.0,0.7504667,0.6825226,1.6308026,1.3792874,1.9745063,1.0297014,2.2773883,0.7268423,1.6481496,2.4481761,0.20158665,1.3954822,0.22999354,1.1145486,1.1787966,1.4019257,0.25851038,0.26695737,0.12483071,1.0246143,0.75815636,0.97586477,2.3733585,0.4485775,0.47214255,0.53183615,1.9720916,1.900761,0.96287525,1.3525265,0.26413727,1.598412,1.0221759,1.4443944,1.2157279,1.0455233,2.6553893,0.18612483,0.52618194,0.99489695,1.7646458
MESH:C566899,1.8583862,2.0256362,0.24625786,0.77518034,0.68555367,1.0487128,2.123243,0.14924137,2.7203894,0.56593245,2.0817094,2.5691047,3.3089988,1.8975592,0.5107413,1.1576624,1.6647106,0.028092394,1.0658714,1.4224187,0.79505074,1.3117087,1.8896977,0.48841506,2.2688332,0.037129965,0.8335709,2.5741456,2.1620224,1.3486017,0.9787367,1.1048601,0.86816806,1.4324126,1.2196535,2.1531587,1.9307219,2.0672586,0.53482926,2.8175335,1.7304558,2.5828278,1.9019723,3.0417626,0.41105476,0.3990079,2.0134554,1.651614,2.0781693,0.38221106,0.8625439,1.4174243,0.08831283,0.6188847,1.7286757,0.5035984,2.0993905,1.0895547,0.7504667,0.0,1.4329337,2.3812559,2.129725,2.7249553,1.7801435,3.027834,1.4772799,2.398596,3.198617,0.54902995,2.145934,0.9803583,1.8649956,1.9292334,2.1523778,1.008942,0.48367682,0.8750654,0.274177,1.5085895,1.726306,3.1238139,0.30190778,1.222547,1.28222,2.722547,2.6512144,1.7133158,2.1029687,1.0144008,2.3488593,1.7726243,2.1948464,0.46548072,1.7959809,3.4058323,0.9365297,1.2766265,1.7453429,2.5150924
