,MESH:D005923,MESH:D009503,MESH:D016115,MESH:D018476,MESH:C567059,MESH:D010198,MESH:D007898,MESH:C574275,MESH:D001249,MESH:C535836,MESH:D020149,MESH:D009325,MESH:D001943,MESH:D006943,MESH:D013612,MESH:D014517,MESH:D001281,MESH:C537758,MESH:D010391,MESH:D002538,MESH:D058489,MESH:D012770,MESH:D009205,MESH:D018500,MESH:D009374,MESH:C567064,MESH:D007805,MESH:D006332,MESH:D007035,MESH:D009389,MESH:C535531,MESH:D009767,MESH:D000037,MESH:D001002,MESH:D007634,MESH:C535575,MESH:D010212,MESH:D018281,MESH:C566381,MESH:D000544,MESH:D016535,MESH:D005334,MESH:D004830,MESH:D009765,OMIM:613721,MESH:D046628,MESH:D012128,MESH:D005922,MESH:D001927,MESH:D054559,MESH:D001157,MESH:D012220,MESH:C535504,MESH:D066126,MESH:D001254,MESH:D016108,MESH:D006527,MESH:D052496,MESH:D019964,MESH:C566899,MESH:D008268,MESH:D020258,MESH:D000647,MESH:D010300,MESH:D012829,MESH:D006528,MESH:D012131,MESH:D013927,MESH:D008106,MESH:D058447,MESH:D001171,MESH:D001724,MESH:D018754,MESH:D006330,MESH:D020261,MESH:D004443,MESH:D016301,OMIM:168600,OMIM:256600,MESH:D009393,MESH:D006519,MESH:D007674,OMIM:606771,MESH:D003248,MESH:D055963,MESH:D009362,MESH:D002779,MESH:D010922,MESH:D006501,MESH:D001847,MESH:D006967,MESH:D016410,MESH:D009101,MESH:D055501,MESH:D014424,MESH:D056486,MESH:D018879,MESH:D020642,MESH:D060050,MESH:D019969
MESH:D020149,0.9999982,0.99999404,0.99993414,0.99999017,0.99994653,0.99998903,0.99999934,-0.97199136,0.99999493,0.9999836,1.0,0.9999984,0.99998707,0.99999803,-0.9948373,0.99998325,0.99999386,0.9993781,0.9999902,0.99999195,0.99997336,0.9999888,0.9999974,0.9999801,0.99999726,0.9997305,0.9999582,0.9999986,0.99999756,0.99998707,0.99997467,0.99998766,0.9999746,0.9999909,0.99999017,0.99999875,0.99999845,0.9999997,0.99991137,0.99999005,0.99999857,0.9999992,0.99999017,0.99999654,-0.9980703,-0.99858814,0.99999666,0.9999945,0.9999973,0.999902,0.99994624,0.99999154,0.9943024,0.9999687,0.9999926,0.9999266,0.9999998,0.99997383,0.9999926,0.9995711,0.99998945,0.9999964,0.99999523,0.99999595,0.9999987,0.99999225,0.9999949,0.99999857,0.9999893,0.9999459,0.99999857,0.9999899,0.9999997,0.99999774,0.9999995,0.99999195,0.9999425,0.99997663,-0.99940866,0.9999916,0.99999845,0.9999936,0.9999571,0.99999124,0.9999854,0.9999931,0.99999934,0.99999803,0.9999979,0.99996614,0.9999972,0.9999967,0.99999917,-0.9985288,0.9999951,0.9999918,0.99999064,0.99999315,0.9999988,0.999992
MESH:D009325,0.9999964,0.9999952,0.99993986,0.999985,0.99994427,0.99998766,0.9999996,-0.9720682,0.9999962,0.9999834,0.9999984,0.99999994,0.9999921,0.99999714,-0.99483585,0.99998266,0.9999926,0.9993511,0.9999901,0.99998933,0.9999704,0.99998546,0.999994,0.9999799,0.99999636,0.9997244,0.99995124,0.99999934,0.99999815,0.99998575,0.9999701,0.9999867,0.9999712,0.9999872,0.9999897,0.99999785,0.99999756,0.9999988,0.9999079,0.99999225,0.9999967,0.99999917,0.999992,0.999998,-0.99809796,-0.9985643,0.9999963,0.9999922,0.9999958,0.9999034,0.99994314,0.99999535,0.99424785,0.9999711,0.999996,0.999924,0.9999986,0.99997175,0.9999868,0.9995708,0.9999864,0.9999973,0.9999952,0.9999972,0.9999961,0.99999595,0.9999937,0.99999934,0.99999386,0.999947,0.99999857,0.99998665,0.9999977,0.99999744,0.99999815,0.99999005,0.9999405,0.9999702,-0.99940646,0.99999243,0.9999957,0.999994,0.9999531,0.9999922,0.9999842,0.9999936,0.99999785,0.9999946,0.9999994,0.99996096,0.99999887,0.9999937,0.9999989,-0.99848735,0.9999896,0.9999956,0.9999869,0.9999862,0.9999956,0.99999523
MESH:D001943,0.99998075,0.99997884,0.99995136,0.999961,0.99990135,0.999967,0.99998915,-0.97236574,0.9999972,0.9999638,0.99998707,0.9999921,1.0,0.99998504,-0.99489814,0.999958,0.99997467,0.99926466,0.9999675,0.9999645,0.9999367,0.9999613,0.99997437,0.99995315,0.999992,0.9996531,0.999908,0.9999931,0.99999523,0.99996394,0.99993974,0.9999613,0.9999388,0.9999771,0.99996567,0.99998957,0.9999875,0.9999879,0.99985844,0.9999982,0.9999803,0.99999225,0.9999895,0.9999953,-0.9981273,-0.9984265,0.99998987,0.99997556,0.999989,0.9998537,0.9999052,0.99998486,0.99393034,0.9999796,0.99998355,0.99987435,0.99998623,0.9999382,0.99997866,0.9995145,0.99996096,0.9999949,0.99997944,0.99999213,0.9999785,0.999999,0.999983,0.99999255,0.9999993,0.99993813,0.999992,0.9999619,0.99998343,0.99998236,0.9999893,0.9999835,0.99990255,0.9999384,-0.9993679,0.9999844,0.99997765,0.9999941,0.99992716,0.99997467,0.99995863,0.99999666,0.99998987,0.9999753,0.99998975,0.9999248,0.99999577,0.99998015,0.99999076,-0.9983475,0.999977,0.999993,0.9999704,0.999966,0.9999782,0.9999965
MESH:D006943,0.99999833,0.9999931,0.99994135,0.9999927,0.9999534,0.9999937,0.9999983,-0.9719372,0.9999918,0.99997735,0.99999803,0.99999714,0.99998504,0.99999994,-0.9948609,0.99998593,0.99999535,0.9993502,0.9999933,0.9999919,0.9999752,0.99999285,0.9999953,0.999984,0.9999945,0.99973536,0.99996364,0.99999684,0.9999957,0.9999912,0.99998134,0.9999917,0.9999783,0.9999937,0.99999255,0.9999982,0.99999917,0.9999995,0.9999215,0.999989,0.99999803,0.9999978,0.9999944,0.99999464,-0.99803406,-0.9985813,0.99999845,0.9999962,0.99999833,0.99990714,0.9999544,0.99999213,0.9943148,0.9999769,0.99999416,0.99993294,0.9999988,0.99997765,0.9999895,0.99956644,0.99999213,0.99999684,0.99999815,0.9999954,0.99999714,0.99998903,0.99999726,0.9999968,0.99998605,0.99995464,0.9999989,0.99999285,0.9999986,0.9999972,0.999998,0.99999505,0.9999457,0.99998146,-0.9994275,0.99999547,0.9999971,0.999995,0.99996376,0.99999434,0.9999884,0.9999894,0.99999654,0.9999967,0.99999803,0.99997157,0.9999949,0.9999983,0.99999875,-0.99849606,0.99999577,0.9999909,0.99999505,0.99999344,0.99999785,0.9999936
MESH:D013612,-0.99476063,-0.9946361,-0.99434257,-0.9946787,-0.99427724,-0.99462724,-0.994825,0.9829654,-0.99483186,-0.99452937,-0.9948373,-0.99483585,-0.99489814,-0.9948609,0.9999998,-0.99455863,-0.9945877,-0.9925597,-0.9947035,-0.99462676,-0.9945914,-0.99468374,-0.9947743,-0.9946869,-0.99496084,-0.99333185,-0.99455,-0.9948323,-0.99481386,-0.99457747,-0.9945166,-0.99483764,-0.9944805,-0.99465716,-0.9946961,-0.99486583,-0.99488646,-0.99485826,-0.994014,-0.994969,-0.99487984,-0.99484736,-0.99473786,-0.99478585,0.9900849,0.9923636,-0.99497294,-0.9946737,-0.9948926,-0.9940112,-0.99412346,-0.994629,-0.98271567,-0.9949505,-0.99469185,-0.99421436,-0.9948248,-0.9944805,-0.9948399,-0.9945866,-0.9947299,-0.9948822,-0.9947088,-0.99472326,-0.9947888,-0.99483097,-0.99490935,-0.9949232,-0.9948987,-0.99420816,-0.99484783,-0.9947208,-0.9948101,-0.99479514,-0.9949255,-0.99474865,-0.99402416,-0.9945002,0.9942315,-0.99473065,-0.9947827,-0.9949503,-0.99468356,-0.9948145,-0.9946205,-0.99491996,-0.9949222,-0.99476945,-0.9947724,-0.9945223,-0.99488956,-0.9948613,-0.99486536,0.99009293,-0.99493575,-0.9946078,-0.99466187,-0.99480903,-0.9947953,-0.99485666
MESH:D014517,0.9999918,0.9999947,0.999919,0.999987,0.99998456,0.99999636,0.99998426,-0.971544,0.9999696,0.9999862,0.99998325,0.99998266,0.999958,0.99998593,-0.99455863,0.99999994,0.99999535,0.9994348,0.99999106,0.9999957,0.99999624,0.99999607,0.9999899,0.999994,0.9999754,0.99981374,0.99998635,0.9999777,0.9999772,0.99999815,0.9999936,0.9999906,0.99999744,0.9999804,0.99999505,0.99998385,0.99998605,0.99998456,0.999966,0.9999586,0.99998844,0.9999797,0.9999771,0.9999729,-0.9982188,-0.99879956,0.9999786,0.9999945,0.99998057,0.9999581,0.99998325,0.99999,0.9947306,0.9999448,0.9999914,0.9999733,0.9999859,0.999996,0.99996287,0.9995628,0.999997,0.9999751,0.99999255,0.99997574,0.9999891,0.9999675,0.99998784,0.99998,0.9999634,0.9999371,0.9999812,0.99999654,0.99998754,0.9999924,0.99998075,0.99998087,0.99998295,0.99999106,-0.99949825,0.9999889,0.9999894,0.9999701,0.99994725,0.9999827,0.99999946,0.9999634,0.9999761,0.9999903,0.999986,0.9999937,0.9999766,0.9999879,0.99998236,-0.9987045,0.9999763,0.9999801,0.9999865,0.99998355,0.9999881,0.9999692
MESH:D001281,0.999998,0.9999974,0.99993926,0.9999941,0.9999729,0.9999983,0.9999945,-0.9715586,0.9999848,0.9999853,0.99999386,0.9999926,0.99997467,0.99999535,-0.9945877,0.99999535,1.0,0.99940485,0.99999505,0.99999744,0.9999865,0.999997,0.9999953,0.99998957,0.9999866,0.9997806,0.9999764,0.9999911,0.99999017,0.9999982,0.9999912,0.9999918,0.99999076,0.99999285,0.99999624,0.99999344,0.99999434,0.99999464,0.99994916,0.99997663,0.99999464,0.9999922,0.9999903,0.9999886,-0.9981407,-0.9986768,0.99998975,0.99999887,0.99999183,0.9999362,0.9999758,0.9999947,0.9945571,0.9999629,0.9999955,0.99995613,0.99999535,0.99999005,0.9999812,0.99956,0.99999607,0.9999891,0.9999989,0.9999912,0.99999624,0.99998206,0.9999932,0.9999903,0.9999771,0.9999582,0.99999326,0.9999966,0.999996,0.9999968,0.9999913,0.9999917,0.9999709,0.99999094,-0.99945515,0.9999952,0.9999963,0.9999849,0.9999605,0.9999911,0.9999958,0.9999795,0.999989,0.9999964,0.9999955,0.9999844,0.99998814,0.99999505,0.9999933,-0.99862766,0.9999886,0.9999911,0.9999956,0.9999918,0.9999961,0.999985
MESH:C537758,0.9993921,0.999405,0.99932075,0.9994432,0.9994957,0.99940515,0.9993662,-0.9653847,0.9993207,0.9995197,0.9993781,0.9993511,0.99926466,0.9993502,-0.9925597,0.9994348,0.99940485,0.9999998,0.9994136,0.99944663,0.99948514,0.99941105,0.9994225,0.99946904,0.9993368,0.9997796,0.99948394,0.9993466,0.99933976,0.999407,0.99943125,0.9994023,0.9994724,0.99935573,0.9994227,0.99935114,0.9993477,0.99936277,0.99950635,0.9992658,0.99939054,0.9993476,0.99929535,0.9993297,-0.99760294,-0.99844795,0.9993146,0.99939376,0.9993309,0.9995611,0.99946666,0.99937713,0.9969161,0.99922913,0.9993693,0.99953586,0.9993766,0.99946165,0.9994029,0.9995733,0.999419,0.999309,0.9993693,0.99933785,0.99940866,0.99930733,0.9993443,0.999344,0.99928725,0.9993447,0.99933773,0.9994307,0.99938864,0.99938804,0.9993539,0.99934924,0.9995471,0.99945843,-0.99832207,0.9993359,0.999413,0.999277,0.99945235,0.9993733,0.99942756,0.9993064,0.9993547,0.9994164,0.99935776,0.99945706,0.9993347,0.99936295,0.9993473,-0.9988168,0.99935466,0.99933463,0.99939096,0.99941087,0.9994045,0.9992812
MESH:D010391,0.9999939,0.99999404,0.9999321,0.99999535,0.99997723,0.9999963,0.9999924,-0.97142047,0.999976,0.99998194,0.9999902,0.9999901,0.9999675,0.9999933,-0.9947035,0.99999106,0.99999505,0.9994136,1.0000001,0.99999666,0.99998665,0.9999942,0.99999225,0.9999947,0.9999796,0.9997977,0.9999791,0.9999876,0.9999828,0.99999356,0.9999877,0.9999984,0.9999884,0.9999828,0.99999934,0.9999872,0.9999897,0.9999915,0.99995106,0.9999691,0.99999386,0.99998796,0.99998313,0.9999839,-0.9979971,-0.9986237,0.9999862,0.9999919,0.9999854,0.9999453,0.9999727,0.9999924,0.9946125,0.9999572,0.9999946,0.99996376,0.9999927,0.99999183,0.999977,0.9996315,0.9999943,0.99998343,0.9999967,0.99998766,0.99999434,0.99997485,0.9999874,0.9999875,0.9999702,0.9999588,0.999989,0.99999565,0.99999326,0.99999374,0.9999872,0.9999823,0.9999675,0.99998814,-0.9994027,0.9999871,0.9999944,0.99997795,0.9999765,0.99999803,0.9999943,0.9999701,0.9999855,0.99999464,0.99999326,0.999982,0.99998325,0.9999892,0.99998885,-0.9985455,0.99998313,0.9999823,0.99999076,0.9999867,0.99999374,0.9999811
MESH:D002538,0.9999963,0.9999964,0.9999187,0.9999949,0.99997896,0.99999607,0.99999195,-0.97152376,0.99997693,0.99998915,0.99999195,0.99998933,0.9999645,0.9999919,-0.99462676,0.9999957,0.99999744,0.99944663,0.99999666,0.9999999,0.99999255,0.9999965,0.9999971,0.999993,0.99998206,0.9998008,0.9999845,0.99998677,0.99998355,0.999996,0.9999906,0.99999493,0.99999356,0.99998426,0.99999857,0.999989,0.9999901,0.99999183,0.9999545,0.9999664,0.9999953,0.999988,0.9999794,0.9999822,-0.99810314,-0.99872166,0.9999844,0.9999955,0.9999859,0.9999476,0.99997604,0.9999908,0.99466324,0.99994653,0.9999927,0.9999664,0.9999937,0.9999943,0.9999775,0.9995998,0.99999774,0.9999814,0.9999958,0.9999849,0.9999968,0.9999741,0.9999886,0.99998707,0.999969,0.99994534,0.999988,0.9999977,0.999995,0.9999959,0.9999884,0.99998266,0.99997425,0.99999195,-0.99944276,0.9999872,0.99999714,0.9999757,0.99996257,0.9999913,0.9999972,0.9999715,0.9999866,0.99999756,0.9999916,0.99998814,0.9999832,0.99999154,0.99998885,-0.99866444,0.9999851,0.99998266,0.9999904,0.99999106,0.9999962,0.99997574
