Drug1,Drug2
DB00747,DB01118
DB00834,DB02709
DB00295,DB01045
DB00482,DB00526
DB00495,DB01050
DB00162,DB00773
DB02587,DB04557
DB01115,DB02587
DB00783,DB01136
DB00388,DB00550
DB01174,DB01393
DB00363,DB01169
DB00412,DB00448
DB00798,DB01373
DB00470,DB00503
DB00328,DB04224
DB00328,DB00584
DB00675,DB01576
DB00907,DB01115
DB00695,DB01229
DB00313,DB00571
DB00126,DB04216
DB00184,DB01001
DB00122,DB00279
DB00255,DB01586
DB00970,DB02010
DB01248,DB01262
DB00451,DB01039
DB00305,DB00541
DB00388,DB01394
DB01221,DB02527
DB00526,DB02656
DB00197,DB03255
DB00907,DB01017
DB00126,DB01181
DB00783,DB01151
DB00945,DB04216
DB00313,DB00668
DB00741,DB04173
DB00122,DB00755
DB00649,DB01169
DB00877,DB01393
DB00388,DB01234
DB00977,DB01042
DB00773,DB01229
DB01064,DB01136
DB00316,DB00407
DB00863,DB01169
DB01030,DB01169
DB00166,DB00388
DB00495,DB02169
DB00122,DB03796
DB00694,DB00860
DB00126,DB00188
DB00472,DB00864
DB00162,DB00863
DB02533,DB04540
DB00783,DB01919
DB00091,DB01698
DB00544,DB01181
DB00864,DB01370
DB00091,DB00564
DB01039,DB01132
DB00118,DB01064
DB01356,DB02379
DB00363,DB01064
DB00564,DB00571
DB00143,DB01076
DB00988,DB01592
DB00331,DB00970
DB00162,DB03128
DB00179,DB00636
DB00122,DB00441
DB00197,DB00523
DB00394,DB02379
DB01095,DB02709
DB00412,DB03568
DB00678,DB01262
DB01136,DB01229
DB00997,DB01076
DB00554,DB03518
DB00470,DB01586
DB00126,DB00472
DB00255,DB01645
DB00907,DB00945
DB00586,DB04224
DB01118,DB01222
DB00313,DB00950
DB00126,DB00928
DB00407,DB01393
DB00564,DB00668
DB00175,DB00773
DB00763,DB02546
DB00295,DB01370
DB00325,DB00499
DB01064,DB01919
DB00412,DB00966
DB01115,DB01645
DB00428,DB02379
DB00396,DB02365
DB01085,DB01370
DB00316,DB01241
DB00394,DB00499
DB00863,DB01064
DB00091,DB00541
DB00993,DB01229
DB00136,DB00641
DB00197,DB00542
DB00544,DB00928
DB00741,DB00762
DB00328,DB03843
DB00317,DB00898
DB00834,DB01394
DB00636,DB02709
DB00624,DB02052
DB00316,DB04381
DB00755,DB00815
DB00694,DB00783
DB00437,DB00641
DB00495,DB00796
DB00859,DB01030
DB00277,DB00907
DB00917,DB04827
DB00182,DB00783
DB00531,DB01085
DB00472,DB00694
DB00773,DB01262
DB00328,DB00428
DB00624,DB01064
DB00977,DB02587
DB00571,DB01050
DB00675,DB01093
DB00495,DB01373
DB01221,DB02379
DB00515,DB00834
DB00313,DB00451
DB01104,DB01169
DB00171,DB01149
DB00458,DB00675
DB00290,DB01076
DB00170,DB01076
DB00580,DB01174
DB00762,DB04557
DB01065,DB01593
DB00746,DB01645
DB00542,DB00898
DB00563,DB01645
DB00641,DB04115
DB01200,DB01262
DB01169,DB02424
DB00328,DB03518
DB01593,DB01645
DB01136,DB01262
DB00134,DB04224
DB00197,DB00252
DB01919,DB02587
DB01050,DB03467
DB00158,DB00834
DB00727,DB01370
DB00412,DB00975
DB01050,DB02901
DB00171,DB00482
DB00624,DB00747
DB00122,DB00945
DB00197,DB00572
DB00898,DB04573
DB00531,DB00563
DB00171,DB00795
DB00586,DB03843
DB01373,DB04224
DB01262,DB01586
DB01065,DB01394
DB00993,DB01262
DB01169,DB01345
DB00783,DB01005
DB00695,DB00822
DB00773,DB01222
DB00636,DB01356
DB00091,DB01268
DB00264,DB00755
DB00798,DB04743
DB00262,DB00982
DB01065,DB01234
DB00605,DB02709
DB00515,DB00773
DB00333,DB00755
DB01234,DB02056
DB01234,DB02010
DB00171,DB00325
DB00678,DB00746
DB00499,DB00627
DB00550,DB00959
DB01093,DB02546
DB00428,DB01045
DB00396,DB00544
DB01577,DB01592
DB00977,DB01645
DB01076,DB01592
DB00898,DB01592
DB00586,DB03518
DB00499,DB00977
DB00864,DB01577
DB00158,DB00773
DB00864,DB01149
DB00503,DB02546
DB01118,DB01221
DB00694,DB02656
DB00563,DB00682
DB00162,DB04173
DB00798,DB00910
DB00499,DB00566
DB00947,DB00977
DB00482,DB02587
DB00788,DB01262
DB00970,DB00977
DB00122,DB01296
DB00266,DB00783
DB00959,DB02546
DB00744,DB01262
DB00441,DB04557
DB00495,DB01039
DB00515,DB00863
DB00313,DB00570
DB00134,DB03843
DB00877,DB04173
DB00396,DB00481
DB00758,DB01174
DB00091,DB00307
DB00755,DB00970
DB00624,DB01118
DB00399,DB00526
DB00982,DB01393
DB00798,DB01136
DB00171,DB00982
DB00563,DB01159
DB00526,DB00788
DB01085,DB01577
DB00166,DB00495
DB00661,DB00783
DB00515,DB03128
DB00313,DB00394
DB00126,DB00580
DB00481,DB00605
DB00316,DB04827
DB00277,DB00515
DB00091,DB00818
DB00605,DB01356
DB00134,DB00428
DB00206,DB01262
DB01373,DB03843
DB00762,DB00917
DB00694,DB01065
DB00158,DB00863
DB00415,DB01593
DB00783,DB03946
DB00435,DB00531
DB00541,DB00982
DB00197,DB00437
DB00394,DB01370
DB00907,DB02527
DB00594,DB00755
DB00396,DB01234
DB00563,DB01120
DB00783,DB02546
DB00544,DB00580
DB00388,DB00997
DB00295,DB00482
DB00675,DB00695
DB00554,DB01356
DB00554,DB01593
DB00136,DB00608
DB00158,DB03128
DB00295,DB00795
DB00526,DB00533
DB00328,DB02375
DB00134,DB03518
DB01394,DB04216
DB00564,DB00570
DB00331,DB00338
DB00162,DB01085
DB00415,DB00550
DB00162,DB00762
DB01030,DB03518
DB00608,DB01064
DB00399,DB00947
DB00428,DB01370
DB00741,DB01229
DB00495,DB04743
DB00605,DB01394
DB00331,DB00627
DB00741,DB03467
DB00313,DB02010
DB00166,DB00586
DB01373,DB03518
DB00126,DB02052
DB00988,DB02656
DB01169,DB04115
DB00264,DB00945
DB00331,DB00977
DB01169,DB04540
DB00295,DB00325
DB01064,DB02546
DB00317,DB00675
DB00184,DB00860
DB00512,DB01174
DB00977,DB01159
DB00482,DB01645
DB00415,DB01234
DB00554,DB01394
DB00762,DB00898
DB00531,DB03467
DB00367,DB00898
DB00502,DB01229
DB02527,DB02709
DB00584,DB01229
DB00499,DB00988
DB00531,DB02901
DB00122,DB00158
DB00515,DB00936
DB00822,DB01174
DB00554,DB01234
DB00328,DB00544
DB00499,DB00987
DB00122,DB00635
DB00864,DB00982
DB00550,DB01026
DB00166,DB00783
DB01042,DB01169
DB00495,DB00910
DB00977,DB01120
DB00945,DB01064
DB00305,DB00907
DB00255,DB00798
DB00947,DB00987
DB00412,DB00712
DB00542,DB00675
DB00126,DB01956
DB00564,DB02010
DB00988,DB01065
DB00328,DB01593
DB00328,DB00806
DB00636,DB01880
DB00499,DB01393
DB00481,DB00958
DB00635,DB00755
DB00806,DB03843
DB00126,DB00747
DB00661,DB02656
DB00201,DB00627
DB00388,DB00877
DB00136,DB00331
DB00295,DB00982
DB00277,DB00966
DB00441,DB00917
DB01118,DB01132
DB00255,DB00641
DB00091,DB00594
DB00328,DB00550
DB00762,DB01454
DB00544,DB01956
DB00179,DB00435
DB00907,DB02379
DB00501,DB00564
DB00947,DB01393
DB00970,DB01393
DB00255,DB00668
DB00201,DB00977
DB00126,DB01030
DB00316,DB03255
DB00197,DB02701
DB00388,DB00531
DB00118,DB02709
DB02169,DB03843
DB00122,DB00431
DB00544,DB00747
DB00363,DB02709
DB00412,DB01296
DB01296,DB02701
DB00171,DB00636
DB00201,DB00566
DB02546,DB04216
DB00421,DB00947
DB01166,DB01645
DB00126,DB00264
DB00313,DB00695
DB00544,DB01030
DB02709,DB04703
DB00526,DB01169
DB00470,DB00798
DB00481,DB04573
DB00584,DB01262
DB00451,DB00864
DB00746,DB01174
DB00502,DB01262
DB00328,DB01234
DB00431,DB00563
DB00947,DB01275
DB00122,DB00170
DB00252,DB00834
DB00860,DB00907
DB00412,DB04557
DB00841,DB03843
DB00470,DB00571
DB00515,DB04173
DB00388,DB00678
DB00608,DB01118
DB00649,DB02709
DB00795,DB00947
DB00091,DB00907
DB00184,DB00277
DB00570,DB03843
DB00316,DB00523
DB00441,DB00898
DB00396,DB01050
DB00863,DB02709
DB00586,DB01593
DB00571,DB04743
DB00477,DB00970
DB01030,DB02375
DB00126,DB00328
DB01222,DB04216
DB00470,DB00668
DB00566,DB00970
DB01050,DB01221
DB00563,DB00641
DB00727,DB00982
DB00331,DB00773
DB00158,DB04173
DB00763,DB04827
DB00564,DB00695
DB00636,DB04513
DB01229,DB04743
DB00126,DB01118
DB00166,DB02656
DB00624,DB02709
DB00481,DB01592
DB00624,DB04703
DB01577,DB02656
DB00316,DB00542
DB00550,DB00815
DB00982,DB04173
DB00586,DB01394
DB00091,DB00649
DB00331,DB01393
DB00363,DB01356
DB00396,DB00859
DB00741,DB00822
DB00675,DB00834
DB00571,DB00910
DB00945,DB01118
DB00566,DB02010
DB00544,DB01118
DB00255,DB00451
DB00773,DB01132
DB00396,DB00759
DB00783,DB01241
DB01149,DB02527
DB00441,DB01454
DB00586,DB01234
DB01262,DB04513
DB01174,DB01229
DB00515,DB01085
DB00515,DB00762
DB00363,DB00550
DB00531,DB00822
DB00907,DB01045
DB00571,DB01136
DB00428,DB00482
DB00412,DB00635
DB00641,DB00871
DB00305,DB00515
DB00783,DB04381
DB00162,DB03467
DB00227,DB03843
DB00755,DB00977
DB00162,DB02901
DB00166,DB01065
DB00184,DB01097
DB00428,DB00795
DB00472,DB00526
DB01030,DB01356
DB00134,DB01593
DB00541,DB00860
DB00363,DB01394
DB00898,DB01065
DB01030,DB01593
DB00143,DB00584
DB00143,DB04224
DB00481,DB00495
DB00277,DB00441
DB00798,DB00864
DB00188,DB00834
DB00550,DB00744
DB00158,DB01085
DB00877,DB01229
DB00675,DB00959
DB00158,DB00762
DB00997,DB04224
DB00227,DB00428
DB00877,DB03467
DB00678,DB00907
DB00134,DB00550
DB00531,DB00605
DB01373,DB01593
DB00316,DB00572
DB00481,DB00860
DB00761,DB04216
DB00091,DB00381
DB00798,DB02546
DB00201,DB01393
DB00619,DB00783
DB00166,DB00412
DB00550,DB01016
DB00201,DB00255
DB01254,DB04557
DB00367,DB00675
DB00753,DB01174
DB00134,DB01394
DB00584,DB00746
DB00499,DB00993
DB01030,DB01394
DB00571,DB01919
DB00252,DB03128
DB00412,DB00917
DB00472,DB00947
DB00412,DB00431
DB00958,DB01174
DB00641,DB04827
DB00134,DB01234
DB00091,DB01104
DB01370,DB04216
DB00947,DB00993
DB00307,DB00313
DB00368,DB00441
DB00407,DB01229
DB01373,DB01394
DB00481,DB00586
DB00394,DB00982
DB00197,DB01174
DB00515,DB00790
DB01174,DB01262
DB01229,DB01919
DB00091,DB00515
DB00188,DB00773
DB00399,DB01645
DB00184,DB00412
DB00091,DB00179
DB00091,DB02232
DB00170,DB04224
DB00170,DB00584
DB00290,DB00584
DB00554,DB00997
DB01149,DB02379
DB01076,DB04216
DB00458,DB00636
DB00122,DB01045
DB00675,DB00863
DB00279,DB00977
DB00759,DB04216
DB00907,DB01370
DB00898,DB04216
DB00712,DB00977
DB00428,DB00982
DB02379,DB03128
DB00741,DB01221
DB00481,DB00783
DB00313,DB00834
DB00970,DB04173
DB00482,DB00798
DB00255,DB01093
DB00091,DB00448
DB00580,DB00755
DB00624,DB01599
DB00675,DB03128
DB00412,DB00898
DB00305,DB00741
DB00682,DB00947
DB00143,DB03843
DB00822,DB02533
DB00255,DB00394
DB00997,DB03843
DB00694,DB01169
DB00531,DB01221
DB00396,DB01183
DB00182,DB01169
DB00482,DB00641
DB00143,DB00428
DB00796,DB01030
DB00975,DB04743
DB00184,DB04216
DB00806,DB01593
DB00171,DB00201
DB01174,DB01222
DB00317,DB00368
DB00608,DB02709
DB00495,DB00864
DB00563,DB00608
DB00316,DB00437
DB00834,DB00970
DB00166,DB00472
DB00441,DB00675
DB00987,DB01296
DB00564,DB00834
DB00407,DB01262
DB00396,DB00753
DB00143,DB03518
DB00523,DB01030
DB00255,DB00331
DB00755,DB01393
DB00495,DB02546
DB00171,DB01254
DB00470,DB01093
DB00997,DB03518
DB00412,DB01454
DB00184,DB00188
DB00328,DB00997
DB00877,DB01222
DB00368,DB00945
DB00313,DB00773
DB00126,DB00363
DB00388,DB01345
DB00583,DB02709
DB00126,DB04703
DB00091,DB03568
DB00162,DB00822
DB00694,DB01064
DB00171,DB00477
DB00182,DB00316
DB00171,DB00554
DB00554,DB00877
DB00860,DB00966
DB00806,DB01234
DB00290,DB03843
DB00170,DB03843
DB00841,DB01593
DB00331,DB04173
DB00122,DB01370
DB00254,DB00624
DB00641,DB03255
DB00091,DB00966
DB00755,DB01275
DB00091,DB00197
DB00435,DB00627
DB00945,DB02709
DB00746,DB02533
DB00788,DB00907
DB00570,DB01593
DB00566,DB00627
DB01064,DB04827
DB00201,DB00313
DB00437,DB00834
DB00477,DB00977
DB00184,DB00472
DB00796,DB01118
DB00515,DB03467
DB00170,DB00428
DB00435,DB00977
DB00566,DB00977
DB00179,DB00396
DB00290,DB00428
DB00515,DB02901
DB00988,DB01169
DB00338,DB01030
DB00526,DB00669
DB00277,DB04557
DB00795,DB01645
DB00495,DB00694
DB00564,DB00773
DB00435,DB00566
DB01026,DB01577
DB00313,DB00863
DB00136,DB00959
DB00594,DB02379
DB00818,DB00977
DB00695,DB01076
DB00470,DB02010
DB00523,DB01118
DB00290,DB03518
DB00170,DB03518
DB01174,DB01696
DB00279,DB00773
DB00762,DB01050
DB00554,DB00678
DB00158,DB03467
DB00627,DB01065
DB00544,DB01586
DB00841,DB01234
DB00158,DB02901
DB01169,DB04827
DB00586,DB00997
DB04743,DB04827
DB00313,DB03128
DB02375,DB02656
DB00368,DB01296
DB00755,DB01236
DB00428,DB00636
DB00997,DB02365
DB00982,DB01229
DB00570,DB01234
DB00122,DB00502
DB01042,DB02709
DB00571,DB04115
DB00669,DB00898
DB00227,DB00544
DB00864,DB01254
DB00741,DB01132
DB00472,DB02587
DB00331,DB00762
DB00328,DB00877
DB00451,DB00470
DB00316,DB02701
DB00175,DB00822
DB02709,DB04513
DB00481,DB01065
DB00988,DB01064
DB00396,DB03166
DB00255,DB00695
DB00636,DB00970
DB00564,DB00863
DB00661,DB01169
DB00227,DB01593
DB00927,DB02709
DB00126,DB00619
DB00091,DB00279
DB00431,DB00605
DB00533,DB00834
DB00281,DB00563
DB00252,DB01085
DB00678,DB00741
DB00564,DB03128
DB00407,DB00746
DB01234,DB04173
DB01254,DB01454
DB00571,DB02546
DB00783,DB03255
DB00227,DB00481
DB00917,DB01174
DB00396,DB00910
DB00624,DB01094
DB01065,DB02424
DB00678,DB00966
DB00512,DB00755
DB00197,DB00608
DB00162,DB01221
DB00295,DB00477
DB00266,DB00316
DB00316,DB00720
DB00515,DB03619
DB01017,DB01229
DB00328,DB00678
DB00526,DB02709
DB00627,DB04216
DB00388,DB04540
DB01229,DB02546
DB00134,DB00997
DB00635,DB02379
DB00624,DB04513
DB00396,DB01136
DB00526,DB02375
DB00435,DB00988
DB00317,DB04743
DB00877,DB01221
DB00126,DB00715
DB00542,DB00636
DB00227,DB01234
DB00541,DB04216
DB01065,DB01345
DB00470,DB00695
DB01064,DB03255
DB00586,DB00877
DB00783,DB00841
DB00412,DB00675
DB00435,DB00987
DB00126,DB00206
DB00158,DB03619
DB00477,DB00773
DB01262,DB02010
DB00091,DB00441
DB00104,DB00396
DB00252,DB00563
DB00388,DB00566
DB00441,DB01050
DB00950,DB01593
DB00566,DB00773
DB00531,DB00586
DB00472,DB01645
DB00755,DB00993
DB00675,DB01085
DB00166,DB00290
DB00277,DB00917
DB00197,DB02533
DB00277,DB00431
DB00143,DB00544
DB01296,DB02533
DB00435,DB01393
DB00166,DB01169
DB00566,DB01393
DB01045,DB02587
DB00122,DB01577
DB00499,DB01229
DB00675,DB01016
DB01174,DB01759
DB00122,DB01149
DB00136,DB01026
DB01076,DB01169
DB00171,DB00399
DB00396,DB01919
DB00898,DB01169
DB00412,DB00853
DB01050,DB01076
DB00316,DB00927
DB00515,DB00822
DB00531,DB00783
DB01039,DB03843
DB00947,DB01229
DB00502,DB00907
DB00143,DB01593
DB00970,DB01229
DB00586,DB00678
DB00822,DB01115
DB00206,DB00515
DB01275,DB01645
DB00451,DB00526
DB00997,DB01593
DB00396,DB02424
DB00184,DB00580
DB00853,DB02656
DB00950,DB01234
DB00526,DB01356
DB00363,DB00531
DB00399,DB00641
DB01017,DB01262
DB00907,DB00982
DB00122,DB00482
DB01132,DB02379
DB00143,DB00481
DB00368,DB00431
DB00122,DB00795
DB00179,DB00526
DB00550,DB01001
DB00158,DB00822
DB00177,DB00544
DB00313,DB04173
DB00277,DB00898
DB00279,DB00313
DB00134,DB00877
DB00834,DB00977
DB00898,DB02052
DB00166,DB00316
DB00412,DB00502
DB00526,DB00550
DB00166,DB01064
DB00910,DB01262
DB01016,DB01169
DB00134,DB00136
DB00898,DB01064
DB00143,DB01234
DB00526,DB01394
DB00451,DB00947
DB00170,DB00544
DB00290,DB00544
DB00755,DB01033
DB00122,DB00325
DB00512,DB00945
DB00997,DB01234
DB00388,DB00988
DB00806,DB00997
DB00184,DB00281
DB00184,DB02052
DB00316,DB01174
DB00295,DB01181
DB00572,DB00675
DB01045,DB01645
DB00550,DB00605
DB00499,DB01262
DB00179,DB00947
DB00177,DB00481
DB00388,DB00987
DB00290,DB01593
DB00170,DB01593
DB00170,DB00806
DB00564,DB04173
DB00184,DB01064
DB00134,DB00678
DB00481,DB00788
DB01394,DB02709
DB00746,DB01115
DB00947,DB01262
DB00864,DB00928
DB00331,DB01229
DB00255,DB00834
DB00669,DB00675
DB00091,DB00712
DB00170,DB00550
DB01065,DB04115
DB00441,DB01373
DB00421,DB01174
DB01065,DB04540
DB00313,DB01085
DB00158,DB00388
DB00313,DB00762
DB00877,DB01132
DB00759,DB01030
DB00563,DB01017
DB00431,DB01592
DB00307,DB01262
DB00122,DB00982
DB00126,DB00421
DB00841,DB00997
DB00531,DB02656
DB00795,DB01174
DB00295,DB00928
DB01039,DB01454
DB00481,DB00533
DB01645,DB03057
DB00396,DB01005
DB00515,DB01221
DB00570,DB00997
DB00966,DB01296
DB00184,DB00747
DB00252,DB02901
DB00727,DB04216
DB00170,DB01234
DB00290,DB01234
DB00126,DB01094
DB00255,DB00959
DB00499,DB01222
DB00091,DB01296
DB00407,DB00727
DB00264,DB01577
DB00313,DB00575
DB00136,DB00499
DB00515,DB00958
DB00136,DB00512
DB00564,DB01085
DB00694,DB02709
DB00564,DB00762
DB00328,DB02424
DB00313,DB00563
DB00753,DB00755
DB00860,DB04557
DB00741,DB01076
DB00412,DB01577
DB00182,DB02709
DB00166,DB00328
DB00428,DB00554
DB00636,DB00977
DB00502,DB00515
DB00126,DB04513
DB00158,DB01221
DB00871,DB04216
DB00091,DB04557
DB00798,DB00947
DB00201,DB01229
DB00325,DB01065
DB01174,DB04348
DB00184,DB00264
DB00431,DB00495
DB01345,DB02379
DB00435,DB00993
DB00762,DB04743
DB00531,DB01076
DB00122,DB01700
DB00197,DB00755
DB00759,DB01118
DB02379,DB02901
DB00313,DB00790
DB00328,DB01345
DB00122,DB00175
DB00431,DB00860
DB00580,DB02379
DB00197,DB03796
DB00396,DB04115
DB00675,DB02901
DB00641,DB02701
DB01041,DB03128
DB00834,DB01393
DB00412,DB02169
DB01296,DB03796
DB00877,DB04348
DB01234,DB03467
DB00325,DB00412
DB00126,DB00571
DB00917,DB02533
DB00499,DB00541
DB00184,DB00328
DB00526,DB01880
DB00313,DB00848
DB00566,DB04173
DB00499,DB00746
DB03518,DB04540
DB00255,DB00863
DB00841,DB00877
DB00470,DB00773
DB00184,DB01118
DB00544,DB00571
DB00431,DB00586
DB00550,DB04573
DB00694,DB01356
DB00255,DB03128
DB00313,DB01420
DB00368,DB01045
DB00564,DB00790
DB00396,DB02546
DB00987,DB01370
DB00091,DB00158
DB01118,DB04224
DB00331,DB01222
DB00988,DB02709
DB01132,DB01370
DB00605,DB00977
DB00134,DB00177
DB01222,DB02709
DB00437,DB00563
DB01356,DB04216
DB00544,DB00668
DB00262,DB01030
DB00091,DB00635
DB00481,DB01169
DB00201,DB01262
DB00197,DB01115
DB00325,DB04216
DB01393,DB02533
DB00171,DB00470
DB00554,DB04540
DB00182,DB00550
DB00277,DB00675
DB00394,DB04216
DB00586,DB01345
DB00431,DB00783
DB00624,DB00970
DB00451,DB02587
DB00134,DB00184
DB00678,DB04557
DB00122,DB00636
DB00197,DB01017
DB00126,DB00950
DB00584,DB00741
DB00694,DB01394
DB00763,DB01174
DB01169,DB01698
DB00627,DB01064
DB00412,DB00796
DB00470,DB00863
DB00950,DB00997
DB00554,DB00566
DB00566,DB00762
DB02379,DB03619
DB00550,DB01592
DB00412,DB01373
DB00305,DB00898
DB00541,DB01064
DB00441,DB04743
DB00472,DB00641
DB00822,DB02527
DB00755,DB01229
DB00495,DB00947
DB01174,DB01248
DB00470,DB03128
DB00675,DB03619
DB00860,DB00917
DB00388,DB00993
DB04540,DB04557
DB00624,DB02010
DB00783,DB02701
DB00762,DB01919
DB00428,DB01181
DB00091,DB00917
DB00316,DB00608
DB00571,DB04827
DB00162,DB02656
DB00091,DB00431
DB00134,DB02424
DB00758,DB02379
DB00481,DB01064
DB00197,DB00501
DB00970,DB01221
DB00325,DB00472
DB00636,DB01393
DB00682,DB01174
DB00143,DB00997
DB00773,DB04557
DB00197,DB00945
DB00313,DB03467
DB00171,DB01030
DB01221,DB04216
DB00988,DB01356
DB00126,DB00451
DB00313,DB02901
DB00262,DB01118
DB00747,DB00834
DB00091,DB00170
DB01229,DB04827
DB00526,DB00997
DB00368,DB01370
DB00328,DB04115
DB00328,DB04540
DB01064,DB02701
DB00533,DB00563
DB00252,DB00605
DB00134,DB01345
DB01118,DB03843
DB01030,DB01345
DB00898,DB01232
DB00412,DB01700
DB00482,DB00834
DB00428,DB00928
DB00860,DB00898
DB00451,DB01645
DB00563,DB01026
DB00550,DB00860
DB00316,DB02533
DB00091,DB00898
DB00162,DB01076
DB00790,DB01030
DB00988,DB01394
DB00531,DB00788
DB01041,DB04173
DB00266,DB01593
DB00388,DB00624
DB00746,DB02527
DB00564,DB03467
DB00179,DB01645
DB00564,DB02901
DB00252,DB00388
DB00755,DB01262
DB00171,DB00526
DB00201,DB00541
DB00641,DB01174
DB00512,DB02379
DB00279,DB01229
DB01696,DB02709
DB00834,DB00993
DB00712,DB01229
DB00554,DB00988
DB00515,DB04539
DB00266,DB00550
DB00877,DB01076
DB01118,DB03518
DB00661,DB01593
DB00515,DB00783
DB00201,DB00746
DB00396,DB00407
DB00290,DB00997
DB00170,DB00997
DB00166,DB02709
DB01577,DB02709
DB00822,DB02379
DB01076,DB02709
DB01262,DB03128
DB00605,DB01393
DB00531,DB00533
DB01093,DB01174
DB00898,DB02709
DB00898,DB04703
DB00188,DB00822
DB00627,DB01118
DB00586,DB04540
DB00412,DB01039
DB00860,DB01454
DB01919,DB03128
DB00441,DB01919
DB00143,DB00877
DB01254,DB01373
DB00143,DB01183
DB00987,DB01577
DB00864,DB01030
DB00295,DB01956
DB00541,DB01118
DB00266,DB01234
DB00158,DB00783
DB00695,DB03843
DB00503,DB01174
DB00313,DB03619
DB00977,DB01026
DB00264,DB00636
DB00853,DB01169
DB00997,DB01183
DB00431,DB01065
DB00563,DB03057
DB00295,DB00747
DB01041,DB01085
DB00184,DB00363
DB01593,DB03057
DB00959,DB01174
DB00788,DB04557
DB00755,DB01222
DB00184,DB02709
DB00661,DB01234
DB00184,DB04703
DB04216,DB04690
DB00526,DB00531
DB00295,DB01030
DB00316,DB00772
DB00175,DB01076
DB00499,DB01132
DB01016,DB02709
DB00277,DB01577
DB00636,DB00661
DB00363,DB00977
DB00328,DB00988
DB00678,DB00898
DB00143,DB00678
DB00396,DB04381
DB00947,DB01132
DB00544,DB00570
DB00255,DB01085
DB01050,DB04224
DB00564,DB03619
DB00412,DB04743
DB00166,DB01356
DB00328,DB00987
DB00363,DB00566
DB00312,DB01174
DB00188,DB00388
DB00917,DB01115
DB00746,DB02379
DB01076,DB01356
DB00126,DB00970
DB00853,DB01064
DB00523,DB00571
DB00169,DB03843
DB00898,DB01356
DB00783,DB01174
DB00134,DB04115
DB01039,DB01050
DB04216,DB04573
DB00477,DB01229
DB00134,DB04540
DB00290,DB00877
DB00170,DB00877
DB01030,DB04540
DB02375,DB03843
DB00435,DB01229
DB00649,DB00977
DB00566,DB01229
DB00815,DB01645
DB00313,DB00822
DB00863,DB00977
DB00977,DB03057
DB00169,DB00428
DB00945,DB00970
DB00966,DB01045
DB01024,DB01645
DB01373,DB04115
DB00368,DB01577
DB01373,DB04540
DB00515,DB02656
DB00305,DB00675
DB00368,DB01149
DB00134,DB00566
DB00675,DB00958
DB00122,DB00201
DB00126,DB02010
DB00166,DB01394
DB00675,DB04690
DB00624,DB00627
DB00407,DB00741
DB00678,DB01454
DB01064,DB01174
DB00295,DB01118
DB00255,DB00563
DB00727,DB01030
DB00624,DB00977
DB00531,DB01169
DB00563,DB00744
DB00328,DB00407
DB00470,DB01085
DB00197,DB02527
DB00188,DB01221
DB00586,DB00988
DB00945,DB02010
DB00755,DB01696
DB00122,DB01254
DB00544,DB02010
DB01296,DB02527
DB00158,DB02656
DB00170,DB00678
DB00290,DB00678
DB00636,DB04173
DB00184,DB00619
DB00762,DB02546
DB00564,DB00822
DB00917,DB00945
DB00586,DB00987
DB00252,DB01592
DB00499,DB04348
DB02379,DB04573
DB00368,DB00795
DB00331,DB00727
DB00499,DB00907
DB00572,DB00636
DB00871,DB01030
DB00122,DB00477
DB00122,DB00554
DB00763,DB02533
DB00331,DB01132
DB00563,DB01016
DB00898,DB01599
DB00675,DB04573
DB00481,DB00669
DB00947,DB04348
DB00316,DB00755
DB00515,DB01076
DB00313,DB00388
DB00396,DB00871
DB01050,DB03843
DB00091,DB01164
DB00773,DB01454
DB01262,DB04173
DB00316,DB03796
DB00431,DB00472
DB00435,DB01262
DB01234,DB01759
DB00458,DB00526
DB00470,DB00563
DB00325,DB01064
DB00091,DB00675
DB00495,DB01645
DB00277,DB01373
DB00277,DB00368
DB00316,DB02315
DB00907,DB04216
DB00177,DB04743
DB00421,DB00755
DB00550,DB01065
DB00307,DB00907
DB00184,DB00715
DB00158,DB01076
DB01254,DB04743
DB00727,DB01118
DB00966,DB01370
DB00252,DB00495
DB00184,DB00206
DB01136,DB01454
DB00907,DB01181
DB00136,DB00605
DB00675,DB01592
DB00982,DB01076
DB00171,DB00363
DB00134,DB00988
DB00753,DB02379
DB01118,DB01593
DB01050,DB03518
DB00470,DB00966
DB00997,DB01136
DB00313,DB01221
DB00584,DB04557
DB00091,DB00853
DB00134,DB00987
DB00396,DB04827
DB00627,DB02709
DB00977,DB01016
DB00458,DB00947
DB00741,DB04224
DB00171,DB02587
DB00958,DB02379
DB00316,DB01115
DB00441,DB00864
DB00313,DB00761
DB00788,DB00898
DB00368,DB01373
DB00281,DB00783
DB00544,DB00695
DB00197,DB02379
DB00313,DB00958
DB00435,DB01222
DB00428,DB01956
DB00313,DB04690
DB01296,DB02379
DB00428,DB01852
DB00394,DB01030
DB00316,DB01017
DB00331,DB04348
DB00441,DB02546
DB01041,DB02901
DB00907,DB00928
DB00252,DB00586
DB00481,DB02709
DB01586,DB02379
DB00477,DB00822
DB00641,DB02533
DB00987,DB01039
DB00091,DB00502
DB00624,DB00773
DB01118,DB01234
DB00197,DB00499
DB00997,DB01919
DB00415,DB00624
DB00206,DB00898
DB00451,DB00641
DB00755,DB01759
DB00564,DB01221
DB00898,DB01880
DB00428,DB01030
DB04216,DB04539
DB00550,DB04216
DB00619,DB01593
DB03467,DB03843
