Drug1,Drug2
DB00407,DB00554
DB00970,DB01039
DB00197,DB00316
DB00533,DB00544
DB00515,DB01919
DB00316,DB00412
DB00526,DB00594
DB00412,DB00451
DB00197,DB01064
DB01698,DB02709
DB00928,DB01593
DB00605,DB01296
DB00290,DB01174
DB00170,DB01174
DB00499,DB00636
DB00412,DB01576
DB01065,DB02527
DB00428,DB01393
DB00678,DB00947
DB00177,DB00641
DB00783,DB04573
DB00795,DB01065
DB00834,DB00898
DB01041,DB01454
DB00758,DB02709
DB00328,DB00501
DB00122,DB02010
DB00477,DB00675
DB00331,DB01700
DB00755,DB01577
DB00126,DB01248
DB00166,DB01041
DB00158,DB01919
DB00755,DB01149
DB00201,DB01373
DB00566,DB00675
DB00586,DB01115
DB00641,DB00860
DB00407,DB00435
DB01076,DB01262
DB00175,DB00295
DB00898,DB01041
DB00624,DB00975
DB00305,DB02587
DB00495,DB02901
DB00162,DB02546
DB00898,DB01262
DB00759,DB01262
DB00203,DB00997
DB00936,DB01593
DB00682,DB00783
DB00134,DB00755
DB01183,DB01234
DB01645,DB04348
DB00313,DB01050
DB00307,DB00636
DB00166,DB00763
DB00945,DB01248
DB00635,DB00997
DB01221,DB01393
DB00563,DB03518
DB00544,DB01248
DB01064,DB04573
DB00586,DB01017
DB00928,DB01234
DB00134,DB03796
DB00435,DB01370
DB01030,DB03796
DB01593,DB03518
DB03128,DB04743
DB00877,DB02546
DB00970,DB04743
DB01234,DB01373
DB00126,DB00515
DB00783,DB01592
DB00773,DB00947
DB01050,DB04827
DB00755,DB00795
DB00755,DB02169
DB00431,DB04115
DB00126,DB00179
DB00431,DB04540
DB00533,DB01234
DB00091,DB00503
DB01373,DB03796
DB00184,DB01262
DB01700,DB02656
DB00636,DB00917
DB00388,DB01045
DB00399,DB00788
DB00788,DB01030
DB00331,DB01039
DB00396,DB01026
DB00407,DB00864
DB00313,DB00859
DB00550,DB01345
DB00482,DB00584
DB00188,DB00368
DB00262,DB01229
DB00936,DB01234
DB00563,DB00669
DB00512,DB02709
DB00091,DB00363
DB00564,DB01050
DB00169,DB00947
DB00313,DB00759
DB00472,DB02656
DB01064,DB01592
DB00586,DB00945
DB00252,DB00678
DB00860,DB02587
DB00220,DB00313
DB00175,DB00864
DB01919,DB03843
DB00435,DB00502
DB00316,DB00472
DB00134,DB01115
DB00166,DB00564
DB01065,DB02379
DB00470,DB01454
DB01030,DB01115
DB00675,DB01183
DB00279,DB01577
DB00197,DB00328
DB00977,DB03518
DB01076,DB01698
DB00898,DB01698
DB00412,DB00570
DB00412,DB01093
DB00175,DB02546
DB00305,DB01645
DB00134,DB01017
DB00783,DB00860
DB00636,DB00898
DB00564,DB00859
DB00091,DB01586
DB00227,DB00331
DB00675,DB00753
DB00363,DB00945
DB00368,DB00421
DB00564,DB00759
DB01919,DB03518
DB00755,DB01373
DB00201,DB01039
DB00472,DB01076
DB00166,DB00541
DB00184,DB01698
DB00396,DB03057
DB00316,DB01092
DB00907,DB00977
DB00126,DB03568
DB00554,DB02527
DB00682,DB02656
DB00763,DB01065
DB00407,DB00694
DB00171,DB01229
DB00316,DB00788
DB00675,DB00678
DB00917,DB01169
DB00126,DB00741
DB00388,DB01370
DB00126,DB00966
